id,lat,lon,dbh,h1,h2,h3,h,wpDamage,canopy,dfAssoc,aspect,slope,date,comments,observer,loc
2022,47.55928,-122.25032,1,3,3,3,3,0,False,True,30,5,2024-02-17,one of 3 young trees growing out of a log w/in 5 ft,eric,garden
2023,47.55963,-122.25039,7,0,0,2,0.67,0,False,False,30,5,2024-02-17,,eric,none
2024,47.55939,-122.25051,2.5,0,0,0,0,0,False,False,30,5,2024-02-17,fallen tree,eric,none
2025,47.55937,-122.25047,8,0,0,0,0,0,False,False,30,5,2024-02-17,knocked down two feet above ground; no healthy branched,eric,none
2026,47.55921,-122.2501,7,0,0.5,0.5,0.33,0,False,False,30,5,2024-02-17,,eric,garden
2027,47.559,-122.25,1.5,1,2,3,2,0,False,True,30,10,2024-02-17,on df at sqebeqsed trail; in 5-cluster looking healthier than the numbers,eric,garden
2028,47.559,-122.25002,2,1,2.5,3,2.17,0,False,True,30,10,2024-02-17,on df at sqebeqsed trail; in 5-cluster looking healthier than the numbers,eric,garden
2029,47.559,-122.25004,0.5,0,0,0,0,0,False,True,30,10,2024-02-17,on df at sqebeqsed trail; in 5-cluster looking healthier than the numbers,eric,garden
2030,47.559,-122.25006,1,0,0,2.5,0.83,0,False,True,30,10,2024-02-17,on df at sqebeqsed trail; in 5-cluster looking healthier than the numbers,eric,garden
2031,47.559,-122.25008,9.5,1,3,3,2.33,0,False,True,30,10,2024-02-17,on df at sqebeqsed trail; in 5-cluster looking healthier than the numbers,eric,garden
2032,47.5586301,-122.2500504,35,NA,NA,3,4,0,True,False,60,5,2024-02-17,,muwei,garden
2032,47.55843,-122.25008,3,0,0,0,0,0,False,False,30,10,2024-02-17,growing out of a cedar stump,eric,garden
2033,47.55825,-122.25027,25,0,0,0,0,5,False,False,30,10,2024-02-17,next to 20 ft log which was its top,eric,garden
3001,47.55946,-122.252027,5,2.5,3,3,2.83,0,False,False,320,20,2024-01-28,minor diseased branches at bottom; north side,paul,graveyard
3002,47.559488,-122.252336,11,0,0,0,0,0,False,False,340,15,2024-01-28,maybe killed when 3003 fell on it,paul,graveyard
3003,47.559492,-122.25235,27,0,0,0,0,0,False,False,312,5,2024-01-28,base failure; log fell east; top of tree fine branchlets;no needles;lots of epiphytes,paul,graveyard
3004,47.559902,-122.252137,23,NA,0,2,1,0,False,False,340,10,2024-01-28,unobstructed access to sky,paul,graveyard
3005,47.559457,-122.252069,28,NA,0,0,0,2,True,False,340,10,2024-01-28,,paul,graveyard
3006,47.559523,-122.251926,28,0,0,0,0,1,True,False,340,10,2024-01-28,fine branchlets on only 1 limb at bottom,paul,graveyard
3007,47.559635,-122.252061,36,0,0,0,0,0,False,False,340,10,2024-01-28,,paul,graveyard
3008,47.559232,-122.252064,20,0,0,0,0,5,True,False,340,10,2024-01-28,extensive woodpecker damage lower third,paul,graveyard
3009,47.55931,-122.252001,37,NA,NA,2.5,3.5,0,True,False,315,5,2024-02-03,,paul,graveyard
3010,47.559085,-122.251994,4,0,1.5,3,1.5,0,False,False,330,4,2024-02-03,,paul,graveyard
3011,47.558827,-122.251816,38,0,0,0,0,4,False,False,300,5,2024-02-03,,paul,graveyard
3013,47.558237,-122.252486,4.5,2.5,3,3,2.83,0,False,False,NA,0,2024-02-03,10 feet northfrom 3014,paul,garden
3014,47.55822,-122.252486,1.5,3,3,3,3,0,False,False,NA,0,2024-02-03,10 feet south from 3013,paul,garden
3015,47.558058,-122.252719,17,2,3,3,3,0,False,False,270,3,2024-02-03,,nate,none
3016,47.558032,-122.252807,10,NA,3,3,3,0,False,False,250,5,2024-02-03,,nate,none
3017,47.558005,-122.252504,5,3,3,3,3,0,False,True,230,5,2024-02-03,growing out of cut stump,nate,garden
3018,47.558332,-122.252066,22,2,1.5,3,2.5,0,False,False,300,5,2024-02-03,,nate,none
3019,47.558312,-122.252066,6,NA,2,2.5,2.25,0,False,False,300,5,2024-02-03,overall no illness but shaded out by neighbor,nate,none
3020,47.558412,-122.25235,8,2,3,3,2.67,0,False,False,270,5,2024-02-03,candidate for needle study,nate,none
3021,47.555417,-122.249411,5,0,0,0,0,0,False,False,15,20,2024-02-03,top of a steep decline,nate,none
3022,47.555363,-122.249354,5,0,0,0,0,0,False,False,45,15,2024-02-03,,nate,none
3023,47.5553576,-122.2491,3,0,0,1,0.33,0,False,False,350,15,2024-02-03,,nate,none
3024,47.5549427,-122.2485249,7,1,2,0,1,0,False,False,5,10,2024-02-03,,nate,none
3025,47.5555326,-122.2491599,5,0.5,1,2,1.17,0,False,False,350,10,2024-02-03,vz1 recent dead branches excep south; needles everywhere seem thin,nate,none
3026,47.5549956,-122.2486211,10,0,0,0.5,0.17,0,False,False,75,10,2024-02-04,,nate,none
3027,47.5550256,-122.2486211,26,NA,1.5,3,2.75,0,False,False,70,5,2024-02-04,,nate,none
3028,47.5549656,-122.2486211,30,NA,1,2,1.5,0,False,False,75,10,2024-02-04,,nate,none
3029,47.55482,-122.248466,4,0,0,2,0.67,0,False,False,65,10,2024-02-04,,nate,none
3030,47.5547239,-122.2485105,31,NA,1.5,3,2.75,0,False,False,80,5,2024-02-04,,nate,none
3031,47.554713,-122.248721,40,NA,2,3,3,0,True,False,100,5,2024-02-04,,nate,none
3032,47.554587,-122.248469,9,1,2,3,2,0,False,False,100,5,2024-02-04,,nate,none
3033,47.5545754,-122.248656,3,2.5,3,3,2.83,0,False,True,100,5,2024-02-04,stump,nate,none
3036,47.554862,-122.248962,21,1,2.5,2.5,2.33,0,True,False,110,5,2024-02-04,,nate,garden
3037,47.554822,-122.249077,25,1.5,2.5,3,2.67,0,True,False,110,10,2024-02-04,,nate,garden
3038,47.55479,-122.249234,7,3,3,3,3,0,False,False,100,15,2024-02-04,,nate,garden
3039,47.554567,-122.249171,28,NA,2.5,3,3.25,0,True,False,110,20,2024-02-04,,nate,garden
3040,47.55456,-122.249111,22,NA,1.5,3,2.75,0,True,False,105,5,2024-02-04,,nate,garden
3041,47.554578,-122.249241,11,2,3,3,2.67,0,False,False,90,5,2024-02-04,,nate,garden
4000,47.555329,-122.24944,49,NA,0,3,2,0,False,False,350,30,2024-02-06,middle has many recently died branches;not sure if this is self-pruning or disease; wp 0,muwei,garden
4001,47.5589041,-122.2508976,40,NA,0,0,0,5,False,False,350,0,2024-02-06,totem pole tree; bare fine branchlets top and middle; wp 100,muwei,none
4002,47.5589235,-122.2504665,12,0,1.5,3,1.5,0,False,False,360,10,2024-02-06,wp 0,muwei,none
4003,47.5590346,-122.2508835,2,0,0,1.5,0.5,0,False,False,360,0,2024-02-06,wp 0,muwei,none
4004,47.5590021,-122.2505831,11,1,0.5,1,0.83,0,False,False,360,0,2024-02-06,,muwei,none
4005,47.5589002,-122.2505265,14,0,0,0,0,0,False,False,30,5,2024-02-06,smaller of two recently (storm?) fallen trees,muwei,none
4006,47.558903,-122.250525,27,0,0,0,0,0,False,False,30,5,2024-02-06,larger of two recently (storm?) fallen trees,muwei,none
4007,47.5590306,-122.2504095,20,NA,1,3,2.5,0,False,False,30,15,2024-02-06,wp 0,muwei,garden
4008,47.5588713,-122.2505895,29,NA,0,2.5,1.75,0,True,False,30,15,2024-02-06,wp 0; canopy,muwei,none
4010,47.5589824,-122.2504681,7,0,0,0,0,0,False,False,360,0,2024-02-06,,muwei,none
4011,47.5589407,-122.2504893,5,0.5,0.5,1,0.67,0,False,False,360,0,2024-02-0,,muwei,none
4012,47.5589688,-122.2504185,9,0,0,0,0,0,False,False,360,0,2024-02-06,,muwei,garden
4013,47.5587767,-122.2504775,7,1,1,2.5,1.5,0,False,False,10,5,2024-02-06,wp 0,muwei,none
4014,47.5587593,-122.2503823,3,2.5,3,3,2.83,0,False,True,15,5,2024-02-06,growing on a doug-fir stump,muwei,none
4020,47.5546386,-122.2496038,1.5,1,3,3,2.33,0,False,True,NA,0,2024-02-10,needles thin on lowest branches; overall very healty appearance,paul,garden
4021,47.5546193,-122.2496427,11,2,3,3,2.67,0,False,False,NA,0,2024-02-10,no canopy,paul,garden
4023,47.553855,-122.24952,23,NA,NA,0,0,0,False,False,75,30,2024-02-10,uprooted;self-pruned apparently good canopy before fall; fine bare twigs at top; 5 years fallen?,paul,none
4024,47.5538948,-122.2494838,4,2,3,3,2.67,0,False,False,0,NA,2024-02-10,grows out of large healthy fir,paul,none
4025,47.5538086,-122.2496819,4.5,2,2,3,2.33,0,False,False,NA,0,2024-02-10,,paul,none
4026,47.5538004,-122.2497262,1.5,0,2,3,1.67,0,False,False,NA,0,2024-02-10,growing out of heavily slumped doug fir log,paul,none
4027,47.5535076,-122.2498563,32,0,0,0,0,4,False,False,NA,0,2024-02-10,16 ft snag; west facing log suggests 100 years,paul,none
4028,47.5533565,-122.2494787,36,NA,NA,3,4,0,False,False,100,10,2024-02-10,surrounded by evergreen huckleberry,paul,none
4029,47.5530705,-122.2502281,24,0,3,3,2.33,0,True,False,90,10,2024-02-10,canopy tree with two taller cedars NW and NE,paul,none
4030,47.5533271,-122.2478697,33,0,0,0,0,0,False,False,90,5,2024-02-10,50 ft snag,paul,none
4031,47.553255,-122.248046,28,0,0,0,0,0,False,False,90,5,2024-02-10,40 ft snag,paul,none
4032,47.553441,-122.248153,25,0,0,0,0,0,False,False,90,4,2024-02-10,30 ft snag,paul,none
4033,47.554126,-122.2496122,29,0,0,0,0,0,False,False,NA,0,2024-02-13,too old to include? log quite decayed,paul,none
4040,47.5553678,-122.2485014,26,NA,NA,3,4,0,True,True,45,25,2024-02-13,canopy yes,paul,none
4041,47.554005,-122.2487187,15,0,0,0,0,0,False,False,90,5,2024-02-13,cones vizible vz3;fine branchlets at all vz,paul,none
4042,47.5540717,-122.248828,13,2,3,3,2.67,0,True,False,90,5,2024-02-13,nearly canopy not due to height but to surrounding dead trees; a hemlock w/top failed; cedar to north,paul,none
4050,47.5597489,-122.2508416,8,2.5,2.5,2.5,2.5,0,False,False,305,10,2024-02-17,two feet north of a healthy cedar which shades out all but easterly branches,paul,none
