"Taxon name","Date observed","Description","Place name","Latitude / y coord / northing","Longitude / x coord / easting","Tags","Geoprivacy","Estimated Height of Tree (ft)","DBH (inches)","DMR.1","DMR.2","DMR.3"
"Tsuga heterophylla","2021-07-22","hemlock.046, GPS 172","Seward Park, Seattle",47.556929,-122.251341,"","open",129,29,1,1,0
"Tsuga heterophylla","2021-07-28","hemlock.047, GPS 182","Seward Park, Seattle",47.556957,-122.25134,"","open",96,36,2,1,0
"Tsuga heterophylla","2021-07-22","hemlock.048, GPS 173","Seward Park, Seattle",47.556972,-122.251306,"","open",21,36,2,2,2
"Tsuga heterophylla","2021-07-22","hemlock.049, GPS 173","Seward Park, Seattle",47.55697,-122.25134,"","open",17,23,2,2,2
"Tsuga heterophylla","2021-07-22","hemlock.050, GPS 173","Seward Park, Seattle",47.556969,-122.251373,"","open",58,36,2,2,2
"Tsuga heterophylla","2021-07-22","hemlock.051, GPS 173","Seward Park, Seattle",47.556986,-122.251364,"","open",47,17,2,1,0
"Tsuga heterophylla","2021-07-22","hemlock.052, GPS 173","Seward Park, Seattle",47.556988,-122.251338,"","open",144,25,2,1,0
"Tsuga heterophylla","2021-07-22","hemlock.053, GPS 173","Seward Park, Seattle",47.556997,-122.251311,"","open",192,28,2,2,1
"Tsuga heterophylla","2021-07-26","hemlock.053b, GPS 173","Seward Park, Seattle",47.557024,-122.251338,"","open",180,28,2,1,0
"Tsuga heterophylla","2021-07-26","hemlock.054, GPS 175","Seward Park, Seattle",47.556939,-122.251341,"","open",78,11,2,2,0
"Tsuga heterophylla","2021-07-27","hemlock.055, GPS 176","Seward Park, Seattle",47.55765,-122.25109,"","open",120,52,0,0,0
"Tsuga heterophylla","2021-07-27","hemlock.056, GPS 177","Seward Park, Seattle",47.5577,-122.2511,"","open",38,4,2,1,0
"Tsuga heterophylla","2021-07-27","hemlock.057, GPS 177","Seward Park, Seattle",47.5577,-122.2511,"","open",38,7,0,0,0
"Tsuga heterophylla","2021-07-27","hemlock.058, GPS 178","Seward Park, Seattle",47.5577,-122.25088,"","open",28,4,2,1,0
"Tsuga heterophylla","2021-07-27","hemlock.059, GPS 178","Seward Park, Seattle",47.5577,-122.25088,"","open",35,7,2,1,0
"Tsuga heterophylla","2021-07-29","hemlock.060, GPS 179","Seward Park, Seattle",47.55724,-122.25193,"","open",65,7,1,1,0
"Tsuga heterophylla","2021-07-29","hemlock.061, GPS 180","Seward Park, Seattle",47.557259,-122.251957,"","open",44,10,2,1,1
"Tsuga heterophylla","2021-07-29","hemlock.062, GPS 180","Seward Park, Seattle",47.557282,-122.251935,"","open",89,6,1,0,0
"Tsuga heterophylla","2021-07-29","hemlock.063, GPS 180","Seward Park, Seattle",47.557283,-122.251931,"","open",78,19,2,0,0
"Tsuga heterophylla","2021-07-29","hemlock.064, GPS 180","Seward Park, Seattle",47.557214,-122.25193,"","open",87,13,2,1,0
"Tsuga heterophylla","2021-07-29","hemlock.065, GPS 180","Seward Park, Seattle",47.557201,-122.25193,"","open",114,32,0,0,0
"Tsuga heterophylla","2021-07-29","hemlock.066, GPS 180","Seward Park, Seattle",47.55719,-122.251928,"","open",80,13,2,1,0
"Tsuga heterophylla","2021-08-03","hemlock.100, GPS NA","Seward Park, Seattle",47.553219,-122.250113,"","open",112,23,2,1,0
"Tsuga heterophylla","021-08-03","hemlock.101, GPS NA","Seward Park, Seattle",47.553777,-122.250264,"","open",105,17,1,0,0
"Tsuga heterophylla","2021-08-03","hemlock.103, GPS NA","Seward Park, Seattle",47.55424,-122.250231,"","open",103,9,2,2,2
"Tsuga heterophylla","2021-08-03","hemlock.110, GPS NA","Seward Park, Seattle",47.554356,-122.251337,"","open",64,9,1,1,0
"Tsuga heterophylla","2021-08-03","hemlock.111, GPS NA","Seward Park, Seattle",47.554675,-122.251294,"","open",26,4,1,0,0
"Tsuga heterophylla","2021-08-03","hemlock.112, GPS NA","Seward Park, Seattle",47.555044,-122.250628,"","open",45,7,1,0,0
"Tsuga heterophylla","2021-08-03","hemlock.113, GPS NA","Seward Park, Seattle",47.554935,-122.25094,"","open",148,32,1,1,0
"Tsuga heterophylla","2021-08-03","hemlock.114, GPS NA","Seward Park, Seattle",47.554501,-122.251079,"","open",78,21,2,2,2
"Tsuga heterophylla","2021-08-03","hemlock.115, GPS NA","Seward Park, Seattle",47.554537,-122.251111,"","open",8,21,2,2,2
"Tsuga heterophylla","2021-08-04","hemlock.116, GPS NA","Seward Park, Seattle",47.554414,-122.251111,"","open",15,30,2,2,2
"Tsuga heterophylla","2021-08-04","hemlock.117, GPS NA","Seward Park, Seattle",47.553733,-122.25095,"","open",29,5,1,1,0
"Tsuga heterophylla","2021-08-04","hemlock.118, GPS NA","Seward Park, Seattle",47.553762,-122.251068,"","open",10,1,0,1,0
"Tsuga heterophylla","2021-08-04","hemlock.119, GPS NA","Seward Park, Seattle",47.553893,-122.251036,"","open",10,1,0,1,0
"Tsuga heterophylla","2021-08-04","hemlock.120, GPS NA","Seward Park, Seattle",47.554157,-122.251051,"","open",146,23,2,1,1
"Tsuga heterophylla","2021-08-04","hemlock.121, GPS NA","Seward Park, Seattle",47.554205,-122.250966,"","open",38,6,1,1,1
"Tsuga heterophylla","2021-08-04","hemlock.122, GPS NA","Seward Park, Seattle",47.554201,-122.251041,"","open",45,4,2,2,1
"Tsuga heterophylla","2021-08-04","hemlock.123, GPS NA","Seward Park, Seattle",47.554223,-122.251185,"","open",132,19,2,1,0
"Tsuga heterophylla","2021-08-09","hemlock.142, GPS NA","Seward Park, Seattle",47.559343,-122.25162,"","open",135,28,2,2,1
"Tsuga heterophylla","2021-08-09","hemlock.143, GPS NA","Seward Park, Seattle",47.55932,-122.251663,"","open",19,4,2,2,2
"Tsuga heterophylla","2021-08-09","hemlock.144, GPS NA","Seward Park, Seattle",47.5593,-122.251614,"","open",32,5,2,1,0
"Tsuga heterophylla","2021-08-09","hemlock.145, GPS NA","Seward Park, Seattle",47.559267,-122.251617,"","open",59,8,1,1,0
"Tsuga heterophylla","2021-08-09","hemlock.146, GPS NA","Seward Park, Seattle",47.559274,-122.25166,"","open",32,5,2,2,2
"Tsuga heterophylla","2021-08-09","hemlock.147, GPS NA","Seward Park, Seattle",47.559277,-122.251875,"","open",102,38,2,2,1
"Tsuga heterophylla","2021-08-09","hemlock.148, GPS NA","Seward Park, Seattle",47.559321,-122.251864,"","open",53,28,2,2,2
"Tsuga heterophylla","2021-08-09","hemlock.149, GPS NA","Seward Park, Seattle",47.559332,-122.251894,"","open",17,3,2,2,2
"Tsuga heterophylla","2021-08-09","hemlock.150 , GPS NA","Seward Park, Seattle",47.559279,-122.252023,"","open",85,20,2,2,2
"Tsuga heterophylla","2021-08-09","hemlock.151, GPS NA","Seward Park, Seattle",47.559359,-122.25188,"","open",126,16,2,2,1
"Tsuga heterophylla","2021-08-09","hemlock.152, GPS NA","Seward Park, Seattle",47.559338,-122.251983,"","open",136,29,2,2,1
"Tsuga heterophylla","2021-08-09","hemlock.153, GPS NA","Seward Park, Seattle",47.559261,-122.252442,"","open",143,27,2,2,1
"Tsuga heterophylla","2021-08-09","hemlock.154, GPS NA","Seward Park, Seattle",47.559133,-122.252354,"","open",101,29,1,1,0
"Tsuga heterophylla","2021-08-09","hemlock.155, GPS NA","Seward Park, Seattle",47.559165,-122.252501,"","open",135,27,1,1,1
"Tsuga heterophylla","2021-08-09","hemlock.156, GPS NA","Seward Park, Seattle",47.559141,-122.252536,"","open",90,28,2,2,1
"Tsuga heterophylla","2021-08-09","hemlock.157, GPS NA","Seward Park, Seattle",47.559113,-122.252661,"","open",84,14,1,2,1
"Tsuga heterophylla","2021-08-09","hemlock.158, GPS NA","Seward Park, Seattle",47.559083,-122.252709,"","open",129,29,2,1,0
"Tsuga heterophylla","2021-08-09","hemlock.159, GPS NA","Seward Park, Seattle",47.559194,-122.252687,"","open",32,23,2,2,2
"Tsuga heterophylla","2021-08-09","hemlock.160, GPS NA","Seward Park, Seattle",47.559182,-122.2528,"","open",119,16,2,2,2
"Tsuga heterophylla","2021-08-09","hemlock.161, GPS NA","Seward Park, Seattle",47.559134,-122.252798,"","open",53,7,2,2,2
"Tsuga heterophylla","2021-08-10","hemlock.162, GPS NA","Seward Park, Seattle",47.559123,-122.25286,"","open",70,12,1,1,1
"Tsuga heterophylla","2021-08-09","hemlock.163, GPS NA","Seward Park, Seattle",47.559186,-122.252865,"","open",128,19,2,2,2
"Tsuga heterophylla","2021-08-11","hemlock.164, GPS NA","Seward Park, Seattle",47.559361,-122.252708,"","open",98,11,2,2,1
"Tsuga heterophylla","2021-08-11","hemlock.164a, GPS NA","Seward Park, Seattle",47.559366,-122.25272,"","open",2,6,2,2,2
"Tsuga heterophylla","2021-08-11","hemlock.164b, GPS NA","Seward Park, Seattle",47.559375,-122.252731,"","open",6,11,2,2,2
"Tsuga heterophylla","2021-08-11","hemlock.165, GPS NA","Seward Park, Seattle",47.559464,-122.252635,"","open",143,28,2,2,1
"Tsuga heterophylla","2021-08-11","hemlock.166, GPS NA","Seward Park, Seattle",47.559381,-122.252743,"","open",78,10,2,2,2
"Tsuga heterophylla","2021-08-11","hemlock.167, GPS NA","Seward Park, Seattle",47.559494,-122.252541,"","open",77,9,2,1,1
"Tsuga heterophylla","2021-08-11","hemlock.168, GPS NA","Seward Park, Seattle",47.559514,-122.252321,"","open",125,28,2,1,1
"Tsuga heterophylla","2021-08-11","hemlock.169, GPS NA","Seward Park, Seattle",47.559563,-122.252409,"","open",24,28,2,2,2
"Tsuga heterophylla","2021-08-11","hemlock.170, GPS NA","Seward Park, Seattle",47.559602,-122.252491,"","open",106,19,2,1,0
"Tsuga heterophylla","2021-08-11","hemlock.171, GPS NA","Seward Park, Seattle",47.559626,-122.252296,"","open",30,40,2,2,2
"Tsuga heterophylla","2021-08-11","hemlock.172, GPS NA","Seward Park, Seattle",47.559659,-122.252337,"","open",121,22,2,2,1
"Tsuga heterophylla","2021-08-11","hemlock.173, GPS NA","Seward Park, Seattle",47.55963,-122.251876,"","open",101,31,2,2,1
"Tsuga heterophylla","2021-08-17","hemlock.174, GPS NA","Seward Park, Seattle",47.559595,-122.251842,"","open",14,26,2,2,2
"Tsuga heterophylla","2021-08-17","hemlock.175, GPS NA","Seward Park, Seattle",47.559465,-122.25186,"","open",12,34,2,2,2
"Tsuga heterophylla","2021-08-17","hemlock.175b, GPS NA","Seward Park, Seattle",47.559477,-122.251871,"","open",22,8,2,2,2
"Tsuga heterophylla","2021-08-17","hemlock.176, GPS NA","Seward Park, Seattle",47.559555,-122.251649,"","open",14,13,2,2,1
"Tsuga heterophylla","2021-08-17","hemlock.177, GPS NA","Seward Park, Seattle",47.559549,-122.251559,"","open",25,4,2,2,0
"Tsuga heterophylla","2021-08-17","hemlock.178, GPS NA","Seward Park, Seattle",47.559449,-122.251643,"","open",117,29,1,1,1
"Tsuga heterophylla","2021-08-17","hemlock.179, GPS NA","Seward Park, Seattle",47.559427,-122.251622,"","open",111,20,2,2,1
